(0.036621094+0.05810547j);(0.037597656-0.03125j)
(0.0703125-0.033203125j);(-0.017089844-0.04296875j)
(0.0703125-0.028808594j);(-0.01171875-0.044433594j)
(0.06982422-0.025390625j);(-0.017089844-0.041503906j)
(0.072753906-0.026367188j);(-0.0063476562-0.04736328j)
(0.071777344-0.020019531j);(-0.015625-0.04296875j)
(0.06982422-0.020507812j);(-0.0009765625-0.047851562j)
(0.07470703-0.013183594j);(-0.0126953125-0.046875j)
(0.07324219-0.016601562j);(0.0009765625-0.044921875j)
(0.07373047-0.00390625j);(-0.0068359375-0.05078125j)
(0.07470703-0.015136719j);(0.0029296875-0.048339844j)
